features_sorted,feature_names_EWRE
781,careful
3806,page
4950,sickness
2447,hang
6102,wonder
5703,true
5104,song
1937,explain
2666,image
35,accommodate
657,briefly
4408,reel
3101,lesson
2055,film
5845,unusual
231,anybody
1827,episode
5462,taxi
1042,commuting
1122,conservative
2767,infection
4047,policy
2576,hopefully
731,cafe
1268,crochet
2143,football
4922,shopping
4874,severe
4141,pressurise
5623,topic
289,arise
5360,sunday
4607,ridiculous
2810,instantly
1214,couch
4927,shortly
1701,eating
56,acquaintance
1267,criticise
5733,twice
4998,ski
3586,news
5413,sweet
4563,restless
3712,onto
5248,stir
4667,rule
3863,pasta
1977,fairly
6145,yeah
4842,sensible
1166,contrast
4475,relived
998,cold
1024,coming
2727,incompetence
2068,finish
5732,twenty
4839,senior
4642,roof
1538,discussion
3459,monday
1397,dehydrate
3622,nose
5823,unnatural
3408,minimise
2814,instinct
3966,picture
4844,sensitivity
1410,demonstrate
4448,relapse
1597,document
5081,soft
3183,loom
3270,manual
3500,much
5423,switch
1882,exaggerate
4174,process
4035,podcast
1944,express
4360,reassurance
5804,uninvited
5313,submit
2645,id
4077,post
5653,train
1426,depressing
1299,current
1141,consultation
1638,drain
2514,helpfulness
5952,visualise
1062,complex
5783,unease
2711,improvise
3457,momentarily
1643,drastically
2803,inspiration
4714,sane
3001,knock
681,brush
3837,paris
4492,remove
80,additional
3477,moreover
5269,strategy
627,boyfriend
323,assault
6060,whichever
1723,effectively
1610,door
5559,throw
3458,mon
2465,harsh
6027,website
4137,president
5379,surface
4195,project
5591,tired
2504,hectic
1878,evolve
2420,guilt
513,best
2352,grade
5853,upgrade
2322,globally
4726,satisfaction
5841,unstructured
3099,lessen
857,charge
145,alcohol
4575,rethink
5633,touch
874,cheese
2353,gradually
5079,sofa
4237,psychosomatic
1569,dissociation
4211,proposal
5723,turkish
2313,girl
3777,overreact
1685,ear
5687,tree
534,bipolar
947,cleaning
1235,coverage
2529,highlight
2634,hygiene
316,aside
2902,isolation
1300,currently
3392,milk
1697,east
5281,strict
4445,rejection
1595,doctor
4480,rely
2603,housemate
1416,department
4599,rib
2492,heart
4884,shake
2298,genuine
1328,danger
5163,sponsor
2678,immigration
894,chip
2745,indicate
5441,takeaway
5526,theme
2245,fund
4431,region
4965,sim
3572,net
3551,necessary
6056,whenever
5698,trolley
853,chaotic
1825,environment
1026,comment
1947,extend
352,attack
4283,quiet
1096,confess
4727,satisfactory
1087,concerning
5616,tonight
2850,internet
3755,outlet
5503,term
1814,ensure
3200,lovely
5173,spread
2127,fly
2532,hike
3808,painful
3230,maintain
1054,compete
1333,data
5056,snippet
5297,student
195,amplify
2648,ideally
3709,ongoing
5094,someday
535,bird
3236,make
2362,grandfather
2307,giant
4507,replay
1402,delicious
5612,tomorrow
1077,computer
249,app
4383,reconsider
2417,guide
5766,undecided
3533,nasty
39,accomplishment
1036,communicate
838,certainty
2524,hesitate
1775,emphasise
3190,loser
1237,cow
1561,disregard
2661,ikea
2639,hypothesis
873,cheerful
1095,conferencing
3013,lacking
5069,socialism
5480,teeth
5465,teacher
4906,shes
4130,prescribe
5506,terrible
5940,virtually
4669,ruminate
3030,laptop
1795,engagement
4531,resentment
12,absence
4158,prior
3982,pinpoint
5384,surprised
238,anyways
4705,sale
1145,contagion
1419,dependant
5644,toy
3974,pile
241,apartment
2673,immediately
5483,television
5970,wage
4949,sicker
1605,domestic
5609,tom
3301,material
3938,petty
724,buying
3499,movie
4902,sheet
5944,viscerally
2829,intend
1876,evil
1644,draw
984,cocktail
5553,three
2049,file
3150,liverpool
776,cardigan
3284,marry
4201,prompt
579,board
2174,fourth
3574,netflix
4467,reliant
939,clarity
2399,grip
1554,dismissive
1220,counsellor
3318,mean
642,breakout
2741,independence
1629,downside
4303,rainy
3623,nostalgia
4477,reluctance
3548,neat
2145,forced
2162,forsaken
3165,loft
4681,ruthless
3367,mere
3168,logic
2210,friendly
885,child
2512,help
5552,threaten
1983,fall
4532,reservation
4779,scottish
835,cereal
5136,speaking
5366,super
5874,utterly
5178,square
386,awake
4571,resume
4529,resent
8,abroad
4880,sex
53,acknowledge
2953,jump
3739,organization
4587,revenue
178,amanda
228,anticlimactic
3994,pivotal
1117,conscious
4400,red
5481,telephone
3188,lord
5787,unemployment
4843,sensitive
5539,think
3534,nation
484,befriend
912,christian
582,body
2458,harder
169,alter
4960,silence
884,chief
2422,guitar
2085,fixture
2158,form
4139,pressing
520,bible
5395,suspend
29,access
5657,tram
2698,impose
1344,deadline
2556,home
354,attenborough
1783,enable
1160,continuous
1151,contemplation
669,broad
4588,reverse
5424,sympathetic
5577,tile
6160,youth
1913,exhausting
727,cab
1205,correction
6051,whats
811,category
2907,item
1798,engineering
2901,isolating
3047,laundry
2199,frequency
3834,parcel
4482,remark
6146,year
822,cease
5584,timing
5821,unlucky
1454,determine
1215,cough
2416,guidance
5851,upcoming
1375,dedicate
1330,dare
5190,stair
741,call
3081,legal
3797,oxygen
4465,reliable
6157,york
5794,ungrateful
5994,warm
1175,converse
5272,street
4439,regulated
3434,mitigate
4357,reasonably
5223,steady
221,anorexia
